,book_title,author,book_url,cover_img_url
56,گلچهره,ملیحه ضیائی فشمی,/book/64859,https://img.taaghche.com/frontCover/64859.jpg
57,در برابر قانون,فرانتس کافکا,/book/16131,https://img.taaghche.com/frontCover/16131.jpg
58,خانه‌ی ارواح,ویرجینیا وولف,/book/16130,https://img.taaghche.com/frontCover/16130.jpg
59,مردی که مدام با چترش بر سرم می‌کوبید,فرناندو سورنتینو,/book/44529,https://img.taaghche.com/frontCover/44529.jpg
60,دوستان دوست‌داشتنی,کورتنی کاربن,/book/80796,https://img.taaghche.com/frontCover/80796.jpg
61,آیه‌های دخترونه,نعیمه آقانوری,/book/78657,https://img.taaghche.com/frontCover/78657.jpg
62,آسو,محمد‌امین  پورحسینقلی,/book/7310,https://img.taaghche.com/frontCover/7310.jpg
63,سوء ظن,ادگار والیس,/book/20932,https://img.taaghche.com/frontCover/20932.jpg
64,جزیره شاتر,دنیس لهین,/book/16689,https://img.taaghche.com/frontCover/16689.jpg
65,شانس,مارک تواین,/book/16839,https://img.taaghche.com/frontCover/16839.jpg
66,عاشق بارانی من,مهوش توکل,/book/5909,https://img.taaghche.com/frontCover/5909.jpg
67,دیوان اشعار محتشم کاشانی,محتشم کاشانی,/book/337,https://img.taaghche.com/frontCover/337.jpg
68,Oliver Twist,Charles Dickens,/book/23660,https://img.taaghche.com/frontCover/23660.jpg
69,گربه زیر باران,ارنست همینگوی,/book/18123,https://img.taaghche.com/frontCover/18123.jpg
70,میدگارد ۱,احمدرضا صالحی‌سیف‌آبادی,/book/7138,https://img.taaghche.com/frontCover/7138.jpg
71,آن سوی پرچین,ای. ام. فورستر,/book/20915,https://img.taaghche.com/frontCover/20915.jpg
72,سایه های موازی من,آیدا عبداللهی,/book/118477,https://img.taaghche.com/frontCover/118477.jpg
73,بزرگ‌ترین راز پول‌درآوردن در تاریخ,جو ویتالی,/book/45416,https://img.taaghche.com/frontCover/45416.jpg
74,وحشی بافقی,کمال‌الدین محمد وحشی بافقی,/book/39530,https://img.taaghche.com/frontCover/39530.jpg
75,سی و دو ساله؛ مسافر روزگار,هاروکی موراکامی,/book/16143,https://img.taaghche.com/frontCover/16143.jpg
76,داستان بلند عشق و نفرت,نعمت‌الله سلیمانی,/book/76945,https://img.taaghche.com/frontCover/76945.jpg
77,انگور فرنگی,آنتوان چخوف,/book/16563,https://img.taaghche.com/frontCover/16563.jpg
78,A Christmas Carol,Charles Dickens,/book/26574,https://img.taaghche.com/frontCover/26574.jpg
79,جوراب بلند زنانه,تیم اوبراین,/book/20924,https://img.taaghche.com/frontCover/20924.jpg
80,زندگی مشترک,محسن عباسی ولدی,/book/28502,https://img.taaghche.com/frontCover/28502.jpg
81,Crime and Punishment,Fyodor Dostoyevsky,/book/26578,https://img.taaghche.com/frontCover/26578.jpg
82,دیانه؛ جلد دوم,فریده حسینی,/book/99598,https://img.taaghche.com/frontCover/99598.jpg
83,یک پیغام همایونی,فرانتس کافکا,/book/16292,https://img.taaghche.com/frontCover/16292.jpg
84,خویشتن پنهان: شرح ده نکته از معرفت نفس,اصغر طاهرزاده,/book/758,https://img.taaghche.com/frontCover/758.jpg
85,عارف قزوینی,ابوالقاسم عارف قزوینی,/book/38439,https://img.taaghche.com/frontCover/38439.jpg
86,دوازده پرنسس رقصنده,اسماعیل پورکاظم,/book/20929,https://img.taaghche.com/frontCover/20929.jpg
87,متن کامل قرآن کریم,ناصر مکارم شیرازی,/book/72839,https://img.taaghche.com/frontCover/72839.jpg
88,مدیریت خشم در خانه,مجید جعفری هرفته,/book/29721,https://img.taaghche.com/frontCover/29721.jpg
89,عطر بهارنارنج,فاطمه فرخی,/book/132129,https://img.taaghche.com/frontCover/132129.jpg
90,حسرت,کیت شوپن,/book/44535,https://img.taaghche.com/frontCover/44535.jpg
91,سایه‌ی تنهایی,ملیحه ضیائی فشمی,/book/64861,https://img.taaghche.com/frontCover/64861.jpg
92,ابوسعید ابوالخیر,ابوسعید ابوالخیر,/book/38749,https://img.taaghche.com/frontCover/38749.jpg
93,تقدیر بی تقصیر من,یگانه رحمت‌نژاد,/book/118478,https://img.taaghche.com/frontCover/118478.jpg
94,یک سفر شیرین,نعیمه آقانوری,/book/59190,https://img.taaghche.com/frontCover/59190.jpg
95,دیوان اقبال لاهوری,اقبال لاهوری,/book/2448,https://img.taaghche.com/frontCover/2448.jpg
96,افسانه‌ی قوهای وحشی,شاگا هیراتا,/book/71309,https://img.taaghche.com/frontCover/71309.jpg
97,شیدایی,شیدا اکبریان,/book/22486,https://img.taaghche.com/frontCover/22486.jpg
98,بخش زنان و زایمان,دوریس لسینگ,/book/16128,https://img.taaghche.com/frontCover/16128.jpg
99,پژواک عشق,مهوش توکل,/book/5908,https://img.taaghche.com/frontCover/5908.jpg
100,پله برقی,آلن رب گری‌یه,/book/44531,https://img.taaghche.com/frontCover/44531.jpg
101,راهنمای فروش موفق,لیندا ریچاردسون,/book/117263,https://img.taaghche.com/frontCover/117263.jpg
102,راننده شب,روبم فونسکا,/book/20930,https://img.taaghche.com/frontCover/20930.jpg
103,دانشنامه جامع ارز دیجیتال,محمد هلاکویی,/book/111754,https://img.taaghche.com/frontCover/111754.jpg
104,عشق و معدن,حمیدرضا رضوانی اول,/book/118745,https://img.taaghche.com/frontCover/118745.jpg
105,عاشقانه‌ی مرگ,آشا مستعار مشترک,/book/74995,https://img.taaghche.com/frontCover/74995.jpg
106,راهنمای تنظیم  دادخواست های حقوقی,محمد قاسمی ده‌چشمه,/book/61155,https://img.taaghche.com/frontCover/61155.jpg
107,ناصرخسرو,ناصرخسرو قبادیانی,/book/39536,https://img.taaghche.com/frontCover/39536.jpg
108,Three Men in a Boat,Jerome K. Jerome,/book/24827,https://img.taaghche.com/frontCover/24827.jpg
109,ای کاش قلبم بی‌آنکه بشکند مقاومت نماید,کریستین بوبن,/book/16617,https://img.taaghche.com/frontCover/16617.jpg
110,لباس محلی سامر,گری اسمیت,/book/20938,https://img.taaghche.com/frontCover/20938.jpg
111,گزیده اشعار شیون فومنی,میراحمد سیدفخری نژاد,/book/368,https://img.taaghche.com/frontCover/368.jpg
112,سفرنامه ناصر خسرو قبادیانی,ناصرخسرو قبادیانی,/book/21825,https://img.taaghche.com/frontCover/21825.jpg
113,دور شو ای ویروس بدجنس!,گروه نویسندگان کتاب های تصویری پیش دبستانی,/book/69990,https://img.taaghche.com/frontCover/69990.jpg
114,دردسرهای یک وکیل,محمد مهاجری,/book/76467,https://img.taaghche.com/frontCover/76467.jpg
115,راز شادی امام حسین علیه السلام در قتلگاه,اصغر طاهرزاده,/book/276,https://img.taaghche.com/frontCover/276.jpg
116,سطل بیلی,کس گرای,/book/20931,https://img.taaghche.com/frontCover/20931.jpg
117,ترس را باور کن!,مهوش توکل,/book/5911,https://img.taaghche.com/frontCover/5911.jpg
118,دنیای ناتمام,حامد خیرخواه,/book/62460,https://img.taaghche.com/frontCover/62460.jpg
119,تفسیر نمونه (جلد اول),ناصر مکارم شیرازی,/book/16039,https://img.taaghche.com/frontCover/16039.jpg
120,۳+۳ شاید ۱۰۰,توشای سراوانی,/book/68759,https://img.taaghche.com/frontCover/68759.jpg
